br.com.MDSGPP.ChamadaParlamentar.Dao,,,,
DeputadoDao,,,,
Método,Variável,Tipo,funcionalidade,
atributo,UM,int,variavel que contem o numero 1,
atributo,DOIS,int,variavel que contem o numero 2,
atributo,TRES,int,variavel que contem o numero 3,
atributo,QUATRO,int ,variavel que contem o numero 4,
atributo,CINCO,int,variavel que contem o numero 5,
atributo,SEIS,int,variavel que contem o numero 6,
atributo,SETE,int,variavel que contem o numero 7,
atributo,OITO,int,variavel que contem o numero 8,
atributo,NOVE,int,variavel que contem o numero 9,
atributo,DEZ,int,variavel que contem o numero 10,
atributo,ONZE,int,variavel que ocntem o numero 11,
atributo,DOZE,int,variavel que contem o numero 12,
adicionaDeputado,deputados,ArrayList<Deputados>,variavel que contem a lista de todos os deputados a ser adiicionados no banco de dados na tabela deputado,
adicionaDeputado,sql,String,comando sql a ser executado no banco, insert.,
adicionaDeputado,stmt,PreparedStatement,variavel que intermedia persistencia no banco de dados.,
getNomesDeputados,sql,String,variavel que contem o comando sql a ser executado, select,
getNomesDeputados,lista,ArrayList<String>,variavel que contem a lista com o nome de todos os deputadosno banco.,
getNomesDeputados,stmt,PreparedStatement,variavel que intermedia persistencia no banco de dados.,
getNomesDeputados,rs,ResultSet,variavel que contem todos os resultados da busca no banco de dados.,
getNomesDeputados,nomeCivil,String,variavel que ocntem o nome civil do deputado.,
getNomesDeputados,nomeTratamento,String,variavel que contem o nome de tratamento do deputado.,
getMatriculaDeputados,sql,String,variavel que contem a string sql a ser executada, select.,
getMatriculaDeputados,lista,ArrayList<Integer>,variavel que contem a lista com a matricula de todos os deputados.,
getMatriculaDeputados,stmt,PreparedStatement,variavel que intermedia persistencia no banco de dados.,
getMatriculaDeputados,rs,ResultSet,variavel que contem todos os resultados da busca no banco de dados.,
getDeputados,sql,String,variavel que contem o comando sql a ser executado, select,
getDeputados,lista,ArrayList<Deputados>,variavel que vai conter os deputados a serem retornados.,
getDeputados,rs,ResultSet,variavel que contem todos os resultados da busca no banco de dados.,
getDeputados,deputados,Deputados,variavel que sera adicionada na lista contendo os dados do  deputado.,
