br.com.MDSGPP.ChamadaParlamentar.Dao,,,,
DiaDao,,,,
Método,Variável,Tipo,funcionalidade,
atributo,Datas,String,"constante com a palavra ""datas""",
buscarTodasDescricoes,lista,ArrayList<Dia>,possui todas as descrições das sessões.,
buscarTodasDescricoes,stmt,PreparedStatement,Statement que controla a conexao com o banco de dados, para fazer um select.,
buscarTodasDescricoes,sql,String,variavel que possui qual o comando sql a ser executado,
buscarTodasDescricoes,rs,ResultSet,variavel que possui os resultados da busca do select.,
buscarTodasDescricoes,rs2,ResultSet,variavel que possui os resultados da busca do select.,
popularListaDia,rs,ResultSet,conjunto de dados vindo do banco, passados por parametro,
popularListaDia,lista,ArrayList<Dia>,variavel que contem os dias que houve sessao.,
popularListaDia,cont,int,variavel que controla o dia no qual sera inserida a data.,
popularListaDia,descricao,String,variavel que contem a descricao parcial de uma dada sessao.,
popularListaDia,descricao,String,variavel que contem a descricao completa de uma dada sessao,
popularListaDia,teste,boolean,variavel que verifica se o dia é o mesmo do que está sendo guardado.,
criarDias,rs,ResultSet,conjunto de dados vindo do banco, passados por parametro,
criarDias,lista,ArrayList<Dia>,variavel que contem todos os dias das sessoes.,
criarDias,controle,int,variavel que controla quantos dias ja foram registrados.,
criarDias,dia,Dia,variavel que contem o dia a ser colocado na lista,
criarDias,teste,boolean,variavel que verifica se o dia ja esta na lista ou não.,
criarDias,diaAux,Dia,variavel que armazena o dia que sera armazenado.,
