br.com.MDSGPP.ChamadaParlamentar.atualizacaoBanco,,,,
AtualizarBanco,,,,
Método,Variável,Tipo,funcionalidade,
AtualizarBanco,timer,Timer,Controlar o horario da atualização do banco.,
atributo,delayDiario,long,Controlar quanto tempo demora para iniciar o método.,
atributo,fONE_DAY,int,qual dia da verificação.,
atributo,fFOUR_AM,int,controla a hora da verificação.,
atributo,fZERO_MINUTES,int,contrala os minutos da verificação.,
getAmanha6Am,tomorrow,GregorianCalendar,é a data do dia em que a atualização deve ser feita.,
getAmanha6Am,result,GregorianCalendar,é o horario exato no qual o metodo deve rodar.,
TimerTask,SessoesDao,SessoesEReunioesDao,é a variavel que comanda a conexão com o banco de dados, table sessoesEReunioes.,
TimerTask,rankingDao,RankingDao,é a variavel que comanda a conexão com o banco de dados, table Ranking,
TimerTask,ranking,Ranking,é a variavel que contem o ranking pronto.,
